CO2 per capita,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,0.052333365,0.048546686,0.037446034,0.034170007,0.027255262,0.014583427,0.022703695,0.02747237,0.036779904,0.047089636,0.068311633,0.131601903,0.213325007,0.262173714
Albania,0.499261188,0.569225594,0.971341941,0.983553048,1.047320154,1.214003077,1.382066271,1.332965957,1.353788699,1.224310364,1.27942017,1.297752738,1.215054777,1.336544035
Algeria,3.015670427,3.608257648,3.060244617,2.879527679,2.720453311,2.889312783,2.899236274,2.762219639,3.257009779,3.113135178,3.312874684,3.328944661,3.564360549,3.480976541
Andorra,7.061602855,7.533542944,8.022713657,8.112345412,7.897775769,7.700515138,7.414281032,7.499690095,7.390954533,6.839939571,6.622435189,6.527241242,6.178519784,6.092100302
Angola,0.576990561,0.556212458,0.677616537,0.68507907,0.676339193,0.850521392,0.587810214,1.177610138,1.161661852,1.308848969,1.435043652,1.474353388,1.500053579,1.593917842
Antigua and Barbuda,4.664325286,4.497461473,4.584238117,4.438377803,4.353775869,4.50892469,4.756310474,4.913204085,4.893782672,5.006748909,5.162816858,5.275415031,5.679445419,5.786645624
Argentina,3.770570751,3.80967752,3.981141308,3.819693795,3.555285353,3.273067083,3.502902225,4.072843801,4.160611395,4.464492014,4.582394268,4.785169983,4.48356446,4.466338068
Armenia,1.045668737,1.095600733,0.989444203,1.126427051,1.155322737,0.994206704,1.120167569,1.190051716,1.421960886,1.427325514,1.648352304,1.804106217,1.410814574,1.364888442
Aruba,21.74312968,19.21445326,19.02942041,24.73662638,24.21604611,23.83821726,23.27741935,22.80421892,22.50914228,22.13329958,22.62093228,21.68186039,21.52978401,21.59310807
Australia,18.00758857,18.51527047,17.1783559,17.19727773,16.7592018,17.39286776,17.46183995,17.34623728,17.7739756,17.89312837,17.85990598,18.01631327,18.03726854,16.75230078
Austria,8.015418493,8.219538404,7.989368994,7.956563584,8.174472454,8.310385132,8.889629244,8.77880008,9.017237523,8.6494461,8.319711838,8.183160018,7.438353474,7.969244347
Azerbaijan,3.766425751,3.97117158,3.55432571,3.637859001,3.512029921,3.576219661,3.654527368,3.783992486,3.998027302,4.500681609,4.695870874,5.109538292,4.701319259,4.976935132
Bahamas,4.749022516,5.779425109,5.699779129,5.604998247,5.203256345,5.15585844,4.893601246,5.475436261,5.005876373,4.695545558,4.705128712,3.131921321,4.854818466,7.186250463
Bahrain,29.20417458,30.10779779,28.74761673,29.20955469,21.67437083,24.44749015,25.44486405,26.06337581,26.49808846,24.02689968,24.1927208,23.09002916,20.66300837,19.17841873
Bangladesh,0.204801701,0.19267111,0.19835736,0.215033394,0.245964373,0.251023286,0.248178278,0.286703397,0.267095016,0.338118365,0.336644963,0.319161002,0.355868066,0.377610209
Barbados,3.40264365,4.287918498,4.535946438,4.440938877,4.552708507,4.569471467,4.709422681,4.794768356,5.001792956,5.059113167,5.251247463,6.008278835,5.955392606,5.500046952
Belarus,5.832167658,5.669982703,5.522028257,5.315636969,5.253945879,5.257819223,5.416118375,5.878412349,6.011031743,6.323492475,6.196023914,6.48817388,6.256458409,6.483926031
Belgium,11.49808755,11.76602654,11.41401577,11.37004648,11.23814512,10.4857686,11.14472772,10.74369108,10.41989843,10.19806569,9.792962953,9.797336714,9.772560976,10.16952908
Belize,1.67207294,1.553040311,2.459732784,2.751697856,2.772343085,1.368018569,1.391576127,1.387398204,1.409518521,1.417945547,1.451035512,1.36012592,1.356699564,1.353113391
Benin,0.203292323,0.197193216,0.246781882,0.248089466,0.258579506,0.295955286,0.323936884,0.339506861,0.314131037,0.49235403,0.554571281,0.537539184,0.552870643,0.586259508
Bermuda,7.689412271,7.418707346,7.913036528,7.8779005,7.843199392,8.271807492,8.006702799,10.49996088,6.918238994,8.093935249,8.015255341,6.011207861,7.185992202,7.339995791
Bhutan,0.749684792,0.712294198,0.693222802,0.699620606,0.66094153,0.68974166,0.604817292,0.479452055,0.600643417,0.581509385,0.56977078,0.60121031,0.544606596,0.656619923
Bolivia,1.261008895,1.295323842,1.266853115,1.230571986,1.158822368,1.106361814,1.602519203,1.456394027,1.347341369,1.601935245,1.347951326,1.43182915,1.474028782,1.556418431
Bosnia and Herzegovina,4.33927499,5.404729785,5.022345704,6.286653646,5.521955766,6.069220542,6.142586576,6.509389836,6.774749156,7.183842696,7.377899573,8.212238083,8.118340458,8.276976967
Botswana,1.934312855,2.259787712,2.051677903,2.432033979,2.428760923,2.480131571,2.33007509,2.363620756,2.459206198,2.44392364,2.438686962,2.547205492,2.218604451,2.607113465
Brazil,1.800931853,1.843227636,1.861992226,1.880196477,1.907555762,1.853076585,1.770560438,1.837108443,1.867213313,1.849542335,1.913505573,2.023772836,1.899717681,2.152980753
British Virgin Islands,3.044455976,2.977701079,2.916273135,2.861928224,2.814558946,3.11968236,3.590413131,3.882571398,4.001819009,4.448838359,4.560733271,4.671528571,4.781153562,5.047680505
Brunei,19.07177814,19.16621826,14.38430303,19.95702818,18.53358377,15.57543022,15.35964859,15.0604638,14.11642887,13.02037624,26.95271421,27.50750595,23.20692873,22.96032621
Bulgaria,6.29567573,6.026111757,5.451565202,5.436690108,5.844329407,5.654701044,6.033540911,6.006152124,6.189984255,6.36437645,6.911698602,6.690139082,5.674512779,5.961127245
Burkina Faso,0.071376274,0.074146362,0.077924752,0.084702482,0.078850092,0.077190403,0.080474192,0.080035373,0.079280882,0.093032044,0.109310102,0.109419171,0.104142692,0.102193772
Burundi,0.051012487,0.048311391,0.046681908,0.04716823,0.033283828,0.033052532,0.024127167,0.028126862,0.021237208,0.025018854,0.024736908,0.031388801,0.021988728,0.036741685
Cambodia,0.131274013,0.162743687,0.155072191,0.158780544,0.1779192,0.171840808,0.182711565,0.185362581,0.207797214,0.22191174,0.254818564,0.287547496,0.289862268,0.295651762
Cameroon,0.219770837,0.214228799,0.200991239,0.218901717,0.213282799,0.208271309,0.22611674,0.230484812,0.210555232,0.213278123,0.317910609,0.295541639,0.348022091,0.369119563
Canada,16.18712728,17.17383324,16.96193179,17.42683142,16.97414433,16.59485318,17.49953067,17.28981435,17.43992599,16.86231777,17.0041237,16.35039863,15.26009889,14.6720161
Cape Verde,0.346336702,0.365619428,0.401449255,0.427684693,0.469561623,0.542621961,0.549962937,0.565572085,0.620308477,0.643991745,0.645241876,0.631962099,0.633957188,0.717071338
Cayman Islands,11.50985549,11.5882011,11.01417476,11.31152299,10.6977875,10.40258291,10.0456621,9.91917464,9.821178031,9.625409592,11.19869298,11.40549176,10.52071565,10.49854763
Chad,0.015260169,0.014781416,0.015225906,0.021405133,0.020231799,0.019098954,0.04165805,0.039860154,0.040841066,0.04036062,0.044543692,0.047839126,0.040565334,0.04180321
