Title,Author,My Rating,Average Rating,Publisher,Binding,Number of Pages,Original Publication Year,Date Read,Bookshelves,Exclusive Shelf
Wyrd Sisters,Terry Pratchett,3,4.14,Hartorch,Mass Market Paperback,265.0,1988.0,2022-12-31,sff,read
"Conan, Vol. 13: Queen of the Black Coast",Brian Wood,4,4.01,Dark Horse Comics,Hardcover,152.0,2013.0,2022-12-30,comics-and-graphic-novels,read
It's Lonely at the Centre of the Earth,Zoe Thorogood,5,4.34,Image Comics,Paperback,120.0,2022.0,2022-12-29,comics-and-graphic-novels,read
Equal Rites,Terry Pratchett,3,4.05,Harper Perennial,Paperback,240.0,1987.0,2022-12-21,sff,read
The Gunslinger,Stephen King,4,3.93,Plume,Paperback,231.0,1982.0,2022-11-29,sff,read
Something Wicked This Way Comes,Ray Bradbury,3,3.92,Harper Voyager,Mass Market Paperback,293.0,1962.0,2022-07-19,fiction-ya-standalone-and-others,read
"Chainsaw Man, Vol. 1",Tatsuki Fujimoto,5,4.37,VIZ Media LLC,Paperback,192.0,2019.0,2022-07-18,manga,read
チェンソーマン 2,Tatsuki Fujimoto,5,4.29,集英社 / Shūeisha,Paperback,192.0,2019.0,2022-07-18,manga,read
チェンソーマン 3,Tatsuki Fujimoto,5,4.33,集英社 / Shūeisha,Paperback,192.0,2019.0,2022-07-18,manga,read
チェンソーマン 4,Tatsuki Fujimoto,5,4.39,集英社 / Shūeisha,Paperback,192.0,2019.0,2022-07-18,manga,read
チェンソーマン 6,Tatsuki Fujimoto,5,4.43,集英社 / Shūeisha,Paperback,192.0,2020.0,2022-07-18,manga,read
チェンソーマン 5,Tatsuki Fujimoto,5,4.37,集英社 / Shūeisha,Paperback,200.0,2020.0,2022-07-18,manga,read
チェンソーマン 7,Tatsuki Fujimoto,5,4.36,集英社 / Shūeisha,Paperback,200.0,2020.0,2022-07-18,manga,read
チェンソーマン 8,Tatsuki Fujimoto,5,4.41,集英社 / Shūeisha,Paperback,192.0,2020.0,2022-07-18,manga,read
チェンソーマン 9,Tatsuki Fujimoto,5,4.63,集英社 / Shūeisha,Paperback,192.0,2020.0,2022-07-18,manga,read
チェンソーマン 10,Tatsuki Fujimoto,5,4.48,集英社 / Shūeisha,Paperback,192.0,2021.0,2022-07-18,manga,read
チェンソーマン 11,Tatsuki Fujimoto,5,4.52,集英社 / Shūeisha,Paperback,192.0,2021.0,2022-07-18,manga,read
Malice,John Gwynne,3,4.16,Tor,Hardcover,672.0,2012.0,2022-07-12,sff,read
DELOS: The White Tree,Blake  Miller,5,4.49,Hierophant Press,Kindle Edition,670.0,2020.0,2022-07-02,fiction-ya-standalone-and-others,read
Midnight,Derek Landy,3,4.27,HarperCollins Children’s Books,ebook,432.0,2018.0,2022-07-01,fiction-ya-standalone-and-others,read
Resurrection,Derek Landy,3,4.33,Harper Collins Children's Books,Kindle Edition,433.0,2017.0,2022-06-16,fiction-ya-standalone-and-others,read
The Hero of Ages,Brandon Sanderson,3,4.51,Tor Books,Hardcover,572.0,2008.0,2022-06-06,sff,read
"Vagabond, Volume 34",Takehiko Inoue,4,4.68,VIZ Media LLC,Paperback,200.0,2012.0,2022-06-02,manga,read
"Vagabond, Volume 35",Takehiko Inoue,5,4.68,VIZ Media LLC,Paperback,240.0,2013.0,2022-06-02,manga,read
バガボンド 36 [Bagabondo 36],Takehiko Inoue,5,4.68,講談社 / Kōdansha,Paperback,222.0,2013.0,2022-06-02,manga,read
"Vagabond, Volume 37",Takehiko Inoue,5,4.73,VIZ Media LLC,Paperback,200.0,2014.0,2022-06-02,manga,read
ONE PIECE 101,Eiichiro Oda,4,4.73,集英社 / Shūeisha,Paperback,208.0,2021.0,2022-06-02,manga,read
"Vagabond, Volume 33",Takehiko Inoue,4,4.66,VIZ Media LLC,Paperback,208.0,2010.0,2022-06-02,manga,read
Vagabond Vol. 32,Takehiko Inoue,4,4.62,Level Comics,Paperback,208.0,2010.0,2022-06-02,manga,read
Vagabond Vol. 31,Takehiko Inoue,4,4.66,Level Comics,Paperback,220.0,2009.0,2022-06-02,manga,read
Vagabond Vol. 30,Takehiko Inoue,4,4.57,Elex Media Komputindo,Paperback,200.0,2009.0,2022-06-02,manga,read
"Vagabond, Volume 29",Takehiko Inoue,4,4.6,VIZ Media LLC,Paperback,200.0,2008.0,2022-06-02,manga,read
"Vagabond, Volume 28",Takehiko Inoue,5,4.64,VIZ Media LLC,Paperback,208.0,2008.0,2022-06-02,manga,read
"Vagabond, Volume 27",Takehiko Inoue,5,4.69,VIZ Media LLC,Paperback,216.0,2007.0,2022-06-02,manga,read
"Vagabond, Volume 26",Takehiko Inoue,5,4.7,VIZ Media LLC,Paperback,208.0,2007.0,2022-06-02,manga,read
"Vagabond, Volume 25",Takehiko Inoue,5,4.7,VIZ Media LLC,Paperback,208.0,2007.0,2022-06-02,manga,read
"Vagabond, Volume 24",Takehiko Inoue,4,4.69,VIZ Media LLC,Paperback,208.0,2006.0,2022-06-02,manga,read
"Vagabond, Volume 23",Takehiko Inoue,4,4.62,VIZ Media LLC,Paperback,208.0,2006.0,2022-06-02,manga,read
"Vagabond, Volume 22",Takehiko Inoue,5,4.67,VIZ Media LLC,Paperback,208.0,2006.0,2022-06-02,manga,read
"Vagabond, Volume 21",Takehiko Inoue,4,4.67,VIZ Media LLC,Paperback,208.0,2005.0,2022-06-02,manga,read
"Vagabond, Volume 1",Takehiko Inoue,4,4.43,Viz Media,Paperback,248.0,1999.0,2022-06-01,manga,read
"Vagabond, Volume 2",Takehiko Inoue,5,4.51,VIZ Media LLC,Paperback,240.0,1999.0,2022-06-01,manga,read
"Vagabond, Volume 4",Takehiko Inoue,4,4.52,Viz Media,Paperback,200.0,1999.0,2022-06-01,manga,read
"Vagabond, Tomo 3",Takehiko Inoue,5,4.51,Editorial Ivrea,Paperback,226.0,1999.0,2022-06-01,manga,read
"Vagabond, Tomo 5",Takehiko Inoue,4,4.58,Editorial Ivrea,Paperback,208.0,2000.0,2022-06-01,manga,read
"Vagabond, Volume 6",Takehiko Inoue,5,4.52,,Comics,219.0,2000.0,2022-06-01,manga,read
"Vagabond, volumen 7",Takehiko Inoue,4,4.57,Editorial Ivrea,Paperback,180.0,2000.0,2022-06-01,manga,read
"Vagabond, volumen 8",Takehiko Inoue,4,4.59,Editorial Ivrea,Paperback,180.0,2000.0,2022-06-01,manga,read
"Vagabond, Tomo 9",Takehiko Inoue,5,4.56,Editorial Ivrea España,Comics,180.0,2001.0,2022-06-01,manga,read
"Vagabond, Volume 11",Takehiko Inoue,4,4.57,VIZ Media LLC,Paperback,224.0,2001.0,2022-06-01,manga,read
"Vagabond, Volume 10",Takehiko Inoue,4,4.59,VIZ Media LLC,Paperback,224.0,2001.0,2022-06-01,manga,read
"Vagabond, volumen 12",Takehiko Inoue,5,4.6,Editorial Ivrea España,Paperback,220.0,2001.0,2022-06-01,manga,read
"Vagabond, Volume 13",Takehiko Inoue,5,4.61,VIZ Media LLC,Comics,216.0,2002.0,2022-06-01,manga,read
