Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-01-30,A Charlie Brown Christmas,1965,https://boxd.it/2xc7Kn,4,,,2022-01-01
2022-01-30,Enter the Void,2009,https://boxd.it/2xc6RR,3.5,,,2022-01-03
2022-01-30,Angel's Egg,1985,https://boxd.it/2xc80b,2.5,,,2022-01-04
2022-01-30,Elf,2003,https://boxd.it/2xc7A3,2.5,,,2022-01-05
2022-01-30,The Evil Dead,1981,https://boxd.it/2xc6qL,3,,,2022-01-07
2022-01-30,Bo Burnham: Inside,2021,https://boxd.it/2x2J1v,4,,,2022-01-08
2022-01-30,The Power of the Dog,2021,https://boxd.it/2xc71R,3.5,,,2022-01-08
2022-01-30,Fear(s) of the Dark,2007,https://boxd.it/2xc85v,2.5,,,2022-01-09
2022-01-30,Evil Dead II,1987,https://boxd.it/2xc5VX,2,,,2022-01-13
2022-01-30,Shiva Baby,2020,https://boxd.it/2xc6hz,4,,,2022-01-13
2022-01-20,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/2v9dph,2.5,,,2022-01-17
2022-01-21,The Tragedy of Macbeth,2021,https://boxd.it/2vm1VL,3,,,2022-01-20
2022-01-21,La Haine,1995,https://boxd.it/2vbQ7v,4,,,2022-01-21
2022-01-22,Possession,1981,https://boxd.it/2vxO31,4.5,,,2022-01-21
2022-01-30,The Wind Rises,2013,https://boxd.it/2xc4yD,4.5,,,2022-01-30
2022-01-30,My Neighbor Totoro,1988,https://boxd.it/2xcBN7,4.5,,,2022-01-30
2022-01-31,Black Swan,2010,https://boxd.it/2xdXMx,4,,,2022-01-30
2022-01-31,Shame,2011,https://boxd.it/2xeMB1,3.5,,,2022-01-30
2022-02-04,Swiss Army Man,2016,https://boxd.it/2y5IE7,0.5,,,2022-02-04
2022-02-05,Nightmare Alley,2021,https://boxd.it/2yipiR,4,,,2022-02-05
2022-02-06,Manchester by the Sea,2016,https://boxd.it/2ymcft,4.5,,,2022-02-06
2022-02-06,Fantastic Mr. Fox,2009,https://boxd.it/2yvDiH,5,,,2022-02-06
2022-02-09,Moebius,2013,https://boxd.it/2yV9F9,2,,,2022-02-08
2022-02-10,The Worst Person in the World,2021,https://boxd.it/2zdMg9,3.5,,,2022-02-10
2022-02-11,There Will Be Blood,2007,https://boxd.it/2zhECz,3,,,2022-02-11
2022-02-11,Sicario,2015,https://boxd.it/2zoaMt,5,,,2022-02-11
2022-02-12,C'mon C'mon,2021,https://boxd.it/2zAaRd,3,,,2022-02-12
2022-07-24,Fargo,1996,https://boxd.it/33kv8L,1.5,,,2022-02-18
2022-02-23,The French Dispatch,2021,https://boxd.it/2BEWrt,4,,,2022-02-23
2022-02-24,Aliens,1986,https://boxd.it/2BIz37,1.5,,,2022-02-23
2022-02-25,Black Candles,1982,https://boxd.it/2BXPGJ,3,,,2022-02-25
2022-02-26,"Faster, Pussycat! Kill! Kill!",1965,https://boxd.it/2C0UvR,3.5,,,2022-02-25
2022-03-02,The Invitation,2015,https://boxd.it/2CPIQl,4,,,2022-03-02
2022-03-03,Upgrade,2018,https://boxd.it/2CR4id,3.5,,,2022-03-02
2022-03-03,Titane,2021,https://boxd.it/2CUrEx,2.5,,,2022-03-03
2022-03-05,The Batman,2022,https://boxd.it/2De2xV,4,,,2022-03-04
2022-03-06,Conan the Barbarian,1982,https://boxd.it/2DAEh1,4,,,2022-03-06
2022-03-06,Conan the Destroyer,1984,https://boxd.it/2DAEld,3,,,2022-03-06
2022-03-08,"Sherlock, Jr.",1924,https://boxd.it/2DUfD7,3,,,2022-03-08
2022-03-10,13 Going on 30,2004,https://boxd.it/2EkOqT,3,,,2022-03-09
2022-03-10,What We Do in the Shadows,2014,https://boxd.it/2EkOu7,1,,,2022-03-09
2022-03-11,mother!,2017,https://boxd.it/2EmOJv,3,,,2022-03-10
2022-03-11,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2Eoa5T,4,,,2022-03-11
2022-03-12,Tucker and Dale vs. Evil,2010,https://boxd.it/2EvEuj,3,,,2022-03-11
2022-03-13,Clueless,1995,https://boxd.it/2ETObf,3.5,,,2022-03-13
2022-03-16,EuroTrip,2004,https://boxd.it/2Fp9qx,3.5,,,2022-03-16
