Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-03-09,Fantastic Mr. Fox,2009,https://boxd.it/1I8FXN,4.5,,,2021-03-08
2021-03-09,No Country for Old Men,2007,https://boxd.it/1I8Gl1,4.5,,,2021-03-08
2021-03-09,Epic Movie,2007,https://boxd.it/1I8Gux,,,,2021-03-08
2022-01-16,Pulp Fiction,1994,https://boxd.it/2u7tnt,4.5,,,2022-01-15
2022-07-11,Movie 43,2013,https://boxd.it/30DvIv,2,,,2022-07-11
2022-07-11,Super Mario Bros.,1993,https://boxd.it/30E7Kz,1,,,2022-07-11
2022-07-26,The SpongeBob SquarePants Movie,2004,https://boxd.it/33EPlv,,,,2022-07-25
2022-07-26,The Emoji Movie,2017,https://boxd.it/33ESs5,,,,2022-07-25
2022-07-26,Problem Child,1990,https://boxd.it/33EUKl,,,,2022-07-25
2022-07-26,The Holy Innocents,1984,https://boxd.it/33HS2H,4.5,,,2022-07-25
2022-08-19,August Underground's Mordum,2003,https://boxd.it/393mOt,0.5,,,2022-08-19
2022-08-27,Over the Hedge,2006,https://boxd.it/3ay0Vj,,,,2022-08-27
2022-09-07,Coneheads,1993,https://boxd.it/3cAOYT,4.5,,,2022-09-06
2022-09-13,Up,2009,https://boxd.it/3dLG2D,5,,,2022-09-12
2022-09-13,Little Nicky,2000,https://boxd.it/3dLLw9,,,,2022-09-13
2022-09-24,Amélie,2001,https://boxd.it/3fRH7J,5,,,2022-09-24
2022-10-07,The Lighthouse,2019,https://boxd.it/3isH2r,,,,2022-10-07
2022-10-10,Her,2013,https://boxd.it/3j8COT,4.5,Yes,,2022-10-09
2022-10-28,Come and See,1985,https://boxd.it/3mQSpv,5,,,2022-10-27
2022-10-30,Brazil,1985,https://boxd.it/3nkI19,,,,2022-10-30
2022-10-30,Magnolia,1999,https://boxd.it/3nkK0n,5,Yes,,2022-10-30
2022-10-30,Funny Games,1997,https://boxd.it/3nkVMd,4.5,Yes,,2022-10-30
2022-11-05,Total Recall,1990,https://boxd.it/3oFObv,4.5,Yes,,2022-11-04
2022-11-05,Twelve Monkeys,1995,https://boxd.it/3oFxJF,4.5,Yes,,2022-11-05
2022-11-28,Master and Commander: The Far Side of the World,2003,https://boxd.it/3tzQyJ,4.5,,,2022-11-27
2022-12-26,"Lock, Stock and Two Smoking Barrels",1998,https://boxd.it/3A98pJ,,Yes,,2022-12-25
2023-01-05,The Royal Tenenbaums,2001,https://boxd.it/3DZgCx,4.5,Yes,,2023-01-04
2023-01-16,Ken Park,2002,https://boxd.it/3IeFL1,1.5,,,2023-01-16
2023-01-23,Spirited Away,2001,https://boxd.it/3KgAmR,5,,,2023-01-22
2023-01-23,Howl's Moving Castle,2004,https://boxd.it/3Kq55l,4.5,,,2023-01-22
2023-01-29,The Whale,2022,https://boxd.it/3MfqwD,5,,,2023-01-28
2023-02-05,Mulholland Drive,2001,https://boxd.it/3Ola0L,4.5,,,2023-02-04
2023-03-11,Breaking the Waves,1996,https://boxd.it/3XRqwj,4.5,,,2023-03-10
2023-03-17,Clerks,1994,https://boxd.it/3ZxNfN,,,,2023-03-16
2023-03-19,The Seventh Seal,1957,https://boxd.it/401B0r,4.5,,,2023-03-18
2023-03-20,The Fabelmans,2022,https://boxd.it/40r9cL,,,,2023-03-19
2023-03-31,2001: A Space Odyssey,1968,https://boxd.it/43ewqn,5,,,2023-03-30
