Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
17343090,"Conan, Vol. 14: The Death",Brian Wood,"Wood, Brian","Becky Cloonan, Vasilis Lolos, Declan Shalvey, Massimo Carnevale",1616551224,9781616551223,3,3.56,Dark Horse Comics,Hardcover,152,2013,2013,,29-12-22,comics-and-graphic-novels,comics-and-graphic-novels (#94),read,,,,1,0
15832934,"Conan, Vol. 13: Queen of the Black Coast",Brian Wood,"Wood, Brian","Becky Cloonan, James Harren, Dave Stewart, Massimo Carnevale",1616550422,9781616550424,4,4.01,Dark Horse Comics,Hardcover,152,2013,2013,30-12-22,29-12-22,comics-and-graphic-novels,comics-and-graphic-novels (#93),read,,,,1,0
60760105,It's Lonely at the Centre of the Earth,Zoe Thorogood,"Thorogood, Zoe",,1534323864,9781534323865,5,4.34,Image Comics,Paperback,120,2022,2022,29-12-22,29-12-22,comics-and-graphic-novels,comics-and-graphic-novels (#92),read,,,,1,0
3551071,The Infinity Crusade: Volume 1,Jim Starlin,"Starlin, Jim","Ron Lim, Tom Raney, Angel  Medina, Tom Grindberg, Kris Renkewitz",0785131272,9780785131274,4,3.26,Marvel,Paperback,248,2008,1993,,26-04-22,comics-and-graphic-novels,comics-and-graphic-novels (#74),read,,,,1,0
25243735,"Wytches, Volume 1",Scott Snyder,"Snyder, Scott","Jock, Matt Hollingsworth, Clem Robins",1632153807,9781632153807,5,3.8,Image Comics,Paperback,192,2015,2014,26-08-19,22-02-19,comics-and-graphic-novels,comics-and-graphic-novels (#84),read,,,,2,0
34555107,The Thanos Quest,Jim Starlin,"Starlin, Jim","Ron Lim, John Beatty, Ken Bruzenak",,,5,4.07,Marvel,Kindle Edition,99,2012,2012,,29-09-19,comics-and-graphic-novels,comics-and-graphic-novels (#83),read,"This comic is very significant in the history of Marvel Publications as it leads to the gigantic and supper coloring story or eh infinity gauntlet, The infinity War and Infinity Crusade, this a where the seeds of Thanos' cosmic domination are sown and it works very well for me. I enjoyed this comic so much, watching Thanos go about on his personal quest to putrid the universe of it's scum and outhink the wierldders of the Infinity Stones (yes, the gems also get their individual name and introduction in this comic so holds the significance) with his intellectual prowess. Sorry for my expression but I wasn't aware that the comic artists held science and is theories with great respect and scrutinized them and embedded the scientific terminology in the comics. It really is a great work and the artwork on this is just stunning, for a comic written in the early 90's this is indeed a masterpiece of art and writing combined with great characters that will surely I down in history as the greatest fictional personas ever. The reason this comic outdoes itself is because the art paired with a great storyline with a very popular villainous diety out to grab all the power the universe has to offer and I'm all for it. Jim Starling deserves a lot more popularity, credit and attention. The full page art paired with the edgy and hardcore dialogues by the Titan just seal the deal, I'll be continuing the exploits of the mad Titan in the infinity Gauntlet as soon as I'm done writing this. Nice Reading!",,,1,0
45303582,"Snow, Glass, Apples",Colleen Doran,"Doran, Colleen",Neil Gaiman,1472262913,9781472262912,5,4.1,Headline,Hardcover,64,2019,2019,,26-10-19,comics-and-graphic-novels,comics-and-graphic-novels (#82),read,"Written by Neil Gaiman<br/>Art by Colleen Doran<br/>   To be honest, I did not have really high expectations for this but the first thing I did after reading this gorgeous and terrifying graphic novel is give a follow to Colleen Doran on Twitter because the art is brilliant. Compared to other comics I've read till date, I did not expect Dark Horse comics to have such quality content not that I don't love Dark Horse. This is beyond ordinary, it is exceptional and brilliant in every possible way and trust me this review will mostly be a rant about how fascinated and charmed I was with this gem of a graphic novel which is a truly explicit and gory retelling of the classic 'Snow White's. Neil Gaiman nailed the story, I did not expect anything lesser than this, that man is brilliant and undoubtedly my favorite graphic novel writer and producer but I had no idea Colleen Doran had such exceptional skills and I was totally dragged in by her full page illustrations. At the end of the book, she reveals in her afterword a lot of facts relating to the production of this 70 paged marvel which also was written very well and offered some facts I was unaware about. This would be the perfect Halloween read and I'm glad I read it in a single sitting. The story itself took surprising turns and haunted me, I did not expect being chilled out by what seemed like a young adult Graphic Novel but it gripped me by the throat thanks to it's dark and grim theme and frequent promiscuity and Bone Chilling dialogues. Watch out for this, this may break out very soon. Absolutely bloody brilliant. Need more of these. Nice Reading.",,,1,0
942007,Judge Dredd: The Complete Case Files 04,John Wagner,"Wagner, John","Alan Grant, Kelvin Gosnell, Mike McMahon, Brian Bolland, Ron      Smith, Ian   Gibson, Steve Dillon, Brett Ewins",1904265901,9781904265900,5,4.17,REBELLION/2000AD,Paperback,336,2006,1980,26-08-19,24-05-16,comics-and-graphic-novels,comics-and-graphic-novels (#81),read,,,,1,0
941802,Judge Dredd: The Complete Case Files 02,John Wagner,"Wagner, John","Pat Mills, Chris Lowder, Brian Bolland, Dave Gibbons, Mike McMahon, Brenden McCarthy, Brett Ewins, Garry Leach, Ron      Smith",1904265839,9781904265832,4,4.09,Rebellion,Paperback,320,2006,1978,26-08-19,24-05-16,comics-and-graphic-novels,comics-and-graphic-novels (#78),read,,,,1,0
941804,Judge Dredd: The Complete Case Files 03,John Wagner,"Wagner, John","Pat Mills, Mike McMahon, Brian Bolland, Dave Gibbons, Brendan McCarthy, Ron      Smith, Barry Mitchell, Garry Leach, John              Cooper",1904265871,9781904265870,4,4.12,REBELLION/2000AD,Paperback,240,2006,1979,26-08-19,24-05-16,comics-and-graphic-novels,comics-and-graphic-novels (#79),read,,,,1,0
